 ===============================================================
         Steady state solution for a 2D rectangular plate       
             with borders at constant temperature               
                 Adimensional temperatures                      
 ===============================================================
                 Author: Dickson Alves de Souza                 
    Based on lectures by professor Roberto Parreiras Tavares    
       and book Numerical Heat Transfer and Fluid Flow          
       by Suhas V. Patankar (1980)                              
                                                                
               Federal University of Minas Gerais               
                      September 21st, 2017                      
 ===============================================================
                       Input parameters:                        
 
 Lenght in X direction:     5.000000
 Lenght in Y direction:     5.000000
 Nodes in X direction:           200
 Nodes in Y direction:           200
 Temperature T1 (left, right and bottom borders):  1200.000000
 Temperature T2 (top border):                       700.000000
 
 SOLUTION of LINEAR SYSTEM: Gauss-Seidel method
     No relaxation applied to solution.
 Tolerance: 0.100000E-03
 
 Iterations:                 33604
 ========================================================================
                    Calculation Results                                  
                    Adimensional Values                                  
 ========================================================================
            I           J         X/L         Y/W           T   Exact Sol
            0          93    0.000000    0.467337    0.000000    0.000000
            0          94    0.000000    0.472362    0.000000    0.000000
            0          95    0.000000    0.477387    0.000000    0.000000
            0          96    0.000000    0.482412    0.000000    0.000000
            0          97    0.000000    0.487437    0.000000    0.000000
            0          98    0.000000    0.492462    0.000000    0.000000
            0          99    0.000000    0.497487    0.000000    0.000000
            0         100    0.000000    0.502513    0.000000    0.000000
            0         101    0.000000    0.507538    0.000000    0.000000
            0         102    0.000000    0.512563    0.000000    0.000000
            0         103    0.000000    0.517588    0.000000    0.000000
            0         104    0.000000    0.522613    0.000000    0.000000
            0         105    0.000000    0.527638    0.000000    0.000000
            0         106    0.000000    0.532663    0.000000    0.000000
            0         107    0.000000    0.537688    0.000000    0.000000
            0         108    0.000000    0.542714    0.000000    0.000000
            0         109    0.000000    0.547739    0.000000    0.000000
            0         110    0.000000    0.552764    0.000000    0.000000
            0         111    0.000000    0.557789    0.000000    0.000000
            0         112    0.000000    0.562814    0.000000    0.000000
            0         113    0.000000    0.567839    0.000000    0.000000
            0         114    0.000000    0.572864    0.000000    0.000000
            0         115    0.000000    0.577889    0.000000    0.000000
            0         116    0.000000    0.582915    0.000000    0.000000
            0         117    0.000000    0.587940    0.000000    0.000000
            0         118    0.000000    0.592965    0.000000    0.000000
            0         119    0.000000    0.597990    0.000000    0.000000
            0         120    0.000000    0.603015    0.000000    0.000000
            0         121    0.000000    0.608040    0.000000    0.000000
            0         122    0.000000    0.613065    0.000000    0.000000
            0         123    0.000000    0.618090    0.000000    0.000000
            0         124    0.000000    0.623116    0.000000    0.000000
            0         125    0.000000    0.628141    0.000000    0.000000
            0         126    0.000000    0.633166    0.000000    0.000000
            0         127    0.000000    0.638191    0.000000    0.000000
            0         128    0.000000    0.643216    0.000000    0.000000
            0         129    0.000000    0.648241    0.000000    0.000000
            0         130    0.000000    0.653266    0.000000    0.000000
            0         131    0.000000    0.658291    0.000000    0.000000
            0         132    0.000000    0.663317    0.000000    0.000000
            0         133    0.000000    0.668342    0.000000    0.000000
            0         134    0.000000    0.673367    0.000000    0.000000
            0         135    0.000000    0.678392    0.000000    0.000000
            0         136    0.000000    0.683417    0.000000    0.000000
            0         137    0.000000    0.688442    0.000000    0.000000
            0         138    0.000000    0.693467    0.000000    0.000000
            0         139    0.000000    0.698492    0.000000    0.000000
            0         140    0.000000    0.703518    0.000000    0.000000
            0         141    0.000000    0.708543    0.000000    0.000000
            0         142    0.000000    0.713568    0.000000    0.000000
            0         143    0.000000    0.718593    0.000000    0.000000
            0         144    0.000000    0.723618    0.000000    0.000000
            0         145    0.000000    0.728643    0.000000    0.000000
            0         146    0.000000    0.733668    0.000000    0.000000
            0         147    0.000000    0.738693    0.000000    0.000000
            0         148    0.000000    0.743719    0.000000    0.000000
            0         149    0.000000    0.748744    0.000000    0.000000
            0         150    0.000000    0.753769    0.000000    0.000000
            0         151    0.000000    0.758794    0.000000    0.000000
            0         152    0.000000    0.763819    0.000000    0.000000
            0         153    0.000000    0.768844    0.000000    0.000000
            0         154    0.000000    0.773869    0.000000    0.000000
            0         155    0.000000    0.778894    0.000000    0.000000
            0         156    0.000000    0.783920    0.000000    0.000000
            0         157    0.000000    0.788945    0.000000    0.000000
            0         158    0.000000    0.793970    0.000000    0.000000
            0         159    0.000000    0.798995    0.000000    0.000000
            0         160    0.000000    0.804020    0.000000    0.000000
            0         161    0.000000    0.809045    0.000000    0.000000
            0         162    0.000000    0.814070    0.000000    0.000000
            0         163    0.000000    0.819095    0.000000    0.000000
            0         164    0.000000    0.824121    0.000000    0.000000
            0         165    0.000000    0.829146    0.000000    0.000000
            0         166    0.000000    0.834171    0.000000    0.000000
            0         167    0.000000    0.839196    0.000000    0.000000
            0         168    0.000000    0.844221    0.000000    0.000000
            0         169    0.000000    0.849246    0.000000    0.000000
            0         170    0.000000    0.854271    0.000000    0.000000
            0         171    0.000000    0.859296    0.000000    0.000000
            0         172    0.000000    0.864322    0.000000    0.000000
            0         173    0.000000    0.869347    0.000000    0.000000
            0         174    0.000000    0.874372    0.000000    0.000000
            0         175    0.000000    0.879397    0.000000    0.000000
            0         176    0.000000    0.884422    0.000000    0.000000
            0         177    0.000000    0.889447    0.000000    0.000000
            0         178    0.000000    0.894472    0.000000    0.000000
            0         179    0.000000    0.899497    0.000000    0.000000
            0         180    0.000000    0.904523    0.000000    0.000000
            0         181    0.000000    0.909548    0.000000    0.000000
            0         182    0.000000    0.914573    0.000000    0.000000
            0         183    0.000000    0.919598    0.000000    0.000000
            0         184    0.000000    0.924623    0.000000    0.000000
            0         185    0.000000    0.929648    0.000000    0.000000
            0         186    0.000000    0.934673    0.000000    0.000000
            0         187    0.000000    0.939698    0.000000    0.000000
            0         188    0.000000    0.944724    0.000000    0.000000
            0         189    0.000000    0.949749    0.000000    0.000000
            0         190    0.000000    0.954774    0.000000    0.000000
            0         191    0.000000    0.959799    0.000000    0.000000
            0         192    0.000000    0.964824    0.000000    0.000000
            0         193    0.000000    0.969849    0.000000    0.000000
            0         194    0.000000    0.974874    0.000000    0.000000
            0         195    0.000000    0.979899    0.000000    0.000000
            0         196    0.000000    0.984925    0.000000    0.000000
            0         197    0.000000    0.989950    0.000000    0.000000
            0         198    0.000000    0.994975    0.000000    0.000000
            0         199    0.000000    1.000000    1.000000    1.000000
            1           0    0.005025    0.000000    0.000000    0.000000
            1           1    0.005025    0.005025    0.000000    0.000000
            1           2    0.005025    0.010050    0.000000    0.000000
            1           3    0.005025    0.015075    0.000000    0.000000
            1           4    0.005025    0.020101    0.000111    0.000111
            1           5    0.005025    0.025126    0.000139    0.000138
            1           6    0.005025    0.030151    0.000167    0.000166
            1           7    0.005025    0.035176    0.000195    0.000194
            1           8    0.005025    0.040201    0.000223    0.000222
            1           9    0.005025    0.045226    0.000251    0.000250
            1          10    0.005025    0.050251    0.000280    0.000278
            1          11    0.005025    0.055276    0.000308    0.000306
            1          12    0.005025    0.060302    0.000336    0.000334
            1          13    0.005025    0.065327    0.000364    0.000362
            1          14    0.005025    0.070352    0.000393    0.000390
            1          15    0.005025    0.075377    0.000422    0.000419
            1          16    0.005025    0.080402    0.000450    0.000447
            1          17    0.005025    0.085427    0.000479    0.000476
            1          18    0.005025    0.090452    0.000508    0.000504
            1          19    0.005025    0.095477    0.000537    0.000533
            1          20    0.005025    0.100503    0.000566    0.000562
            1          21    0.005025    0.105528    0.000596    0.000591
            1          22    0.005025    0.110553    0.000625    0.000621
            1          23    0.005025    0.115578    0.000655    0.000650
            1          24    0.005025    0.120603    0.000685    0.000680
            1          25    0.005025    0.125628    0.000715    0.000710
            1          26    0.005025    0.130653    0.000745    0.000740
            1          27    0.005025    0.135678    0.000775    0.000770
            1          28    0.005025    0.140704    0.000806    0.000800
            1          29    0.005025    0.145729    0.000837    0.000831
            1          30    0.005025    0.150754    0.000868    0.000862
            1          31    0.005025    0.155779    0.000899    0.000893
            1          32    0.005025    0.160804    0.000930    0.000924
            1          33    0.005025    0.165829    0.000962    0.000956
            1          34    0.005025    0.170854    0.000994    0.000988
            1          35    0.005025    0.175879    0.001026    0.001020
            1          36    0.005025    0.180905    0.001059    0.001052
            1          37    0.005025    0.185930    0.001092    0.001085
            1          38    0.005025    0.190955    0.001125    0.001117
